Type,Details,dNi
nodules,todorkite,-0.22
nodules,todorkite,-0.07
nodules,todorkite,0.01
nodules,phyllomanganate,0.28
clay,ash and silica-bearing clay,0.04
clay,clay,0.02
clay,clay,0.15
clay,ash-bearing siliceous silty clay,0.09
clay,ash-bearing siliceous silty clay,0.19
clay,ash-bearing siliceous silty clay,0.15
clay,ash-rich clay,0.28
clay,clay,0.45
clay,pelagic clay,1.03
clay,silt-bearing clay,0.77
hydrothermal,,0.51
hydrothermal,,1.11
hydrothermal,,-1.49
hydrothermal,,-0.8
hydrothermal,,-0.81
hydrothermal,,-0.93
hydrothermal,,-1.16
hydrothermal,,-1.07
hydrothermal,,-1.16
hydrothermal,,-0.42
hydrothermal,,-0.46
hydrothermal,,-0.43
hydrothermal,,-0.63
hydrothermal,,-0.79
hydrogenetic,,1.63
hydrogenetic,,1.41
hydrogenetic,,2.47
hydrogenetic,,1.82
hydrogenetic,,1.7
hydrogenetic,,1.69
hydrogenetic,,1.89
hydrogenetic,,1.68
hydrogenetic,,2
hydrogenetic,,1.04
hydrogenetic,,1
hydrogenetic,,1.84
hydrogenetic,,2.27
hydrogenetic,,1.93
hydrogenetic,,1.46
hydrogenetic,,1.58
hydrogenetic,,1.73
hydrogenetic,,1.56
hydrogenetic,,1.68
hydrogenetic,,1.82
hydrogenetic,,0.88
hydrogenetic,,1.02
hydrogenetic,,1.24
hydrogenetic,,1.99
hydrogenetic,,1.9
hydrogenetic,,1.87
hydrogenetic,,1.85
hydrogenetic,,1.79
hydrogenetic,,1.64
hydrogenetic,,1.81
hydrogenetic,,1.62
hydrogenetic,,1.89
hydrogenetic,,1.86
hydrogenetic,,2.13
hydrogenetic,,2.05
hydrogenetic,,1.89
hydrogenetic,,1.98
hydrogenetic,,1.84
hydrogenetic,,2.04
hydrogenetic,,1.85
hydrogenetic,,1.86
hydrogenetic,,1.6
hydrogenetic,,1.14
hydrogenetic,,1.66
hydrogenetic,,1.69
hydrogenetic,,2.27
hydrogenetic,,2.17
hydrogenetic,,1.91
hydrogenetic,,1.65
hydrogenetic,,2.05
hydrogenetic,,2.21
hydrogenetic,,1.92
hydrogenetic,,1.87
hydrogenetic,,1.94
hydrogenetic,,1.9
hydrogenetic,,1.77
hydrogenetic,,1.77
hydrogenetic,,1.79
hydrogenetic,,1.98
hydrogenetic,,1.93
hydrogenetic,,1.9
hydrogenetic,,1.7
hydrogenetic,,1.91
hydrogenetic,,1.78
hydrogenetic,,1.82
hydrogenetic,,1.89
hydrogenetic,,1.76
hydrogenetic,,1.84
hydrogenetic,,1.85
hydrogenetic,,1.87
hydrogenetic,,1.65
hydrogenetic,,1.8
hydrogenetic,,1.86
hydrogenetic,,1.74
hydrogenetic,,1.89
hydrogenetic,,1.82
hydrogenetic,,1.69
hydrogenetic,,1.71
hydrogenetic,,1.65
hydrogenetic,,1.75
hydrogenetic,,1.74
hydrogenetic,,1.81
hydrogenetic,,1.72
hydrogenetic,,1.67
hydrogenetic,,1.63
hydrogenetic,,1.54
hydrogenetic,,1.69
hydrogenetic,,1.08
hydrogenetic,,1.01
hydrogenetic,,0.63
hydrogenetic,,0.25
hydrogenetic,,1.88
hydrogenetic,,1.94
hydrogenetic,,1.86
hydrogenetic,,1.89
hydrogenetic,,1.84
hydrogenetic,,1.95
hydrogenetic,,1.89
hydrogenetic,,1.89
hydrogenetic,,1.87
hydrogenetic,,1.8
hydrogenetic,,1.84
hydrogenetic,,1.87
hydrogenetic,,1.86
hydrogenetic,,1.75
hydrogenetic,,1.72
hydrogenetic,,1.74
hydrogenetic,,1.65
hydrogenetic,,1.66
hydrogenetic,,1.67
hydrogenetic,,1.65
hydrogenetic,,1.72
hydrogenetic,,1.65
hydrogenetic,,1.64
hydrogenetic,,1.41
hydrogenetic,,1.94
hydrogenetic,,1.81
hydrogenetic,,1.75
hydrogenetic,,1.78
hydrogenetic,,1.86
hydrogenetic,,1.8
hydrogenetic,,1.74
hydrogenetic,,1.78
hydrogenetic,,1.81
hydrogenetic,,1.74
hydrogenetic,,1.7
hydrogenetic,,1.4
hydrogenetic,,1.48
hydrogenetic,,1.37
hydrogenetic,,1.51
hydrogenetic,,1.45
hydrogenetic,,1.33
hydrogenetic,,1.33
hydrogenetic,,1.27
hydrogenetic,,1.1
hydrogenetic,,1.48
hydrogenetic,,1.27
hydrogenetic,,0.76
hydrogenetic,,0.8
hydrogenetic,,1.73
hydrogenetic,,1.48
hydrogenetic,,1.72
hydrogenetic,,1.8
hydrogenetic,,1.76
hydrogenetic,,1.63
hydrogenetic,,1.6
hydrogenetic,,1.59
hydrogenetic,,1.67
